"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"TT_TU_MN009","691","201902010000","-2","7","6"
"TT_TU_MN009","691","201902010100","-1.7","7","6"
"TT_TU_MN009","691","201902010200","-2.4","7","1"
"TT_TU_MN009","691","201902010300","-2.4","7","1"
"TT_TU_MN009","691","201902010400","-1.9","7","1"
"TT_TU_MN009","691","201902010500","-1.2","7","1"
"TT_TU_MN009","691","201902010600","-1.2","7","1"
"TT_TU_MN009","691","201902010700","-1","7","1"
"TT_TU_MN009","691","201902010800","-0.5","7","1"
"TT_TU_MN009","691","201902010900","-0.3","7","1"
"TT_TU_MN009","691","201902011000","-0.2","7","1"
"TT_TU_MN009","691","201902011100","0.1","7","1"
"TT_TU_MN009","691","201902011200","0.4","7","1"
"TT_TU_MN009","691","201902011300","0.6","7","1"
"TT_TU_MN009","691","201902011400","0.8","7","1"
"TT_TU_MN009","691","201902011500","0.8","7","1"
"TT_TU_MN009","691","201902011600","1","7","1"
"TT_TU_MN009","691","201902011700","1.1","7","1"
"TT_TU_MN009","691","201902011800","0.5","7","1"
"TT_TU_MN009","691","201902011900","-0.7","7","1"
"TT_TU_MN009","691","201902012000","-0.5","7","1"
"TT_TU_MN009","691","201902012100","0.2","7","1"
"TT_TU_MN009","691","201902012200","-1.2","7","1"
"TT_TU_MN009","691","201902012300","-1.7","7","1"
"TT_TU_MN009","691","201902020000","-1.4","7","1"
"TT_TU_MN009","691","201902020100","-2.1","7","1"
"TT_TU_MN009","691","201902020200","-1.5","7","1"
"TT_TU_MN009","691","201902020300","-1.3","7","1"
"TT_TU_MN009","691","201902020400","-1.3","7","1"
"TT_TU_MN009","691","201902020500","-1.9","7","1"
"TT_TU_MN009","691","201902020600","-2.2","7","1"
"TT_TU_MN009","691","201902020700","-2.1","7","1"
"TT_TU_MN009","691","201902020800","-1.6","7","1"
"TT_TU_MN009","691","201902020900","-0.9","7","1"
"TT_TU_MN009","691","201902021000","-0.1","7","1"
"TT_TU_MN009","691","201902021100","0.8","7","1"
"TT_TU_MN009","691","201902021200","1.2","7","1"
"TT_TU_MN009","691","201902021300","1.4","7","1"
"TT_TU_MN009","691","201902021400","1.8","7","1"
"TT_TU_MN009","691","201902021500","1.9","7","1"
"TT_TU_MN009","691","201902021600","1.9","7","1"
"TT_TU_MN009","691","201902021700","1.6","7","1"
"TT_TU_MN009","691","201902021800","1.1","7","1"
"TT_TU_MN009","691","201902021900","1.2","7","1"
"TT_TU_MN009","691","201902022000","0.3","7","1"
"TT_TU_MN009","691","201902022100","0","7","1"
"TT_TU_MN009","691","201902022200","-0.2","7","1"
"TT_TU_MN009","691","201902022300","-1.7","7","1"
"TT_TU_MN009","691","201902030000","-1.5","7","1"
"TT_TU_MN009","691","201902030100","-1.8","7","1"
"TT_TU_MN009","691","201902030200","-0.6","7","1"
"TT_TU_MN009","691","201902030300","-0.3","7","1"
"TT_TU_MN009","691","201902030400","-0.2","7","1"
"TT_TU_MN009","691","201902030500","-0.7","7","1"
"TT_TU_MN009","691","201902030600","-1","7","1"
"TT_TU_MN009","691","201902030700","-0.7","7","1"
"TT_TU_MN009","691","201902030800","-0.6","7","1"
"TT_TU_MN009","691","201902030900","0.9","7","1"
"TT_TU_MN009","691","201902031000","2.7","7","1"
"TT_TU_MN009","691","201902031100","3.9","7","1"
"TT_TU_MN009","691","201902031200","4.1","7","1"
"TT_TU_MN009","691","201902031300","4","7","1"
"TT_TU_MN009","691","201902031400","4.2","7","1"
"TT_TU_MN009","691","201902031500","3.3","7","1"
"TT_TU_MN009","691","201902031600","2.4","7","1"
"TT_TU_MN009","691","201902031700","1.5","7","1"
"TT_TU_MN009","691","201902031800","-0.2","7","1"
"TT_TU_MN009","691","201902031900","-0.7","7","1"
"TT_TU_MN009","691","201902032000","-0.3","7","1"
"TT_TU_MN009","691","201902032100","-1.3","7","1"
"TT_TU_MN009","691","201902032200","-2.3","7","1"
"TT_TU_MN009","691","201902032300","-1.8","7","1"
"TT_TU_MN009","691","201902040000","-1.9","7","1"
"TT_TU_MN009","691","201902040100","-3.2","7","1"
"TT_TU_MN009","691","201902040200","-1.5","7","1"
"TT_TU_MN009","691","201902040300","-2.4","7","1"
"TT_TU_MN009","691","201902040400","-1.7","7","1"
"TT_TU_MN009","691","201902040500","-0.4","7","1"
"TT_TU_MN009","691","201902040600","-0.2","7","1"
"TT_TU_MN009","691","201902040700","0.4","7","1"
"TT_TU_MN009","691","201902040800","0.6","7","1"
"TT_TU_MN009","691","201902040900","1.6","7","1"
"TT_TU_MN009","691","201902041000","2.1","7","1"
"TT_TU_MN009","691","201902041100","2.7","7","1"
"TT_TU_MN009","691","201902041200","3.3","7","1"
"TT_TU_MN009","691","201902041300","3.7","7","1"
"TT_TU_MN009","691","201902041400","3.7","7","1"
"TT_TU_MN009","691","201902041500","3.7","7","1"
"TT_TU_MN009","691","201902041600","3.8","7","1"
"TT_TU_MN009","691","201902041700","3.9","7","1"
"TT_TU_MN009","691","201902041800","3.8","7","1"
"TT_TU_MN009","691","201902041900","3.8","7","1"
"TT_TU_MN009","691","201902042000","3.9","7","1"
"TT_TU_MN009","691","201902042100","3.4","7","1"
"TT_TU_MN009","691","201902042200","3.4","7","1"
"TT_TU_MN009","691","201902042300","3.5","7","1"
"TT_TU_MN009","691","201902050000","3.3","7","1"
"TT_TU_MN009","691","201902050100","3.1","7","1"
"TT_TU_MN009","691","201902050200","2.4","7","1"
"TT_TU_MN009","691","201902050300","2.4","7","1"
"TT_TU_MN009","691","201902050400","2.6","7","1"
"TT_TU_MN009","691","201902050500","2.7","7","1"
"TT_TU_MN009","691","201902050600","2.7","7","1"
"TT_TU_MN009","691","201902050700","2.5","7","1"
"TT_TU_MN009","691","201902050800","3.1","7","1"
"TT_TU_MN009","691","201902050900","3.4","7","1"
"TT_TU_MN009","691","201902051000","3.7","7","1"
"TT_TU_MN009","691","201902051100","3.6","7","1"
"TT_TU_MN009","691","201902051200","4.6","7","1"
"TT_TU_MN009","691","201902051300","4.7","7","1"
"TT_TU_MN009","691","201902051400","4.6","7","1"
"TT_TU_MN009","691","201902051500","4.7","7","1"
"TT_TU_MN009","691","201902051600","4.4","7","1"
"TT_TU_MN009","691","201902051700","4.2","7","1"
"TT_TU_MN009","691","201902051800","4.1","7","1"
"TT_TU_MN009","691","201902051900","4","7","1"
"TT_TU_MN009","691","201902052000","3.9","7","1"
"TT_TU_MN009","691","201902052100","3.7","7","1"
"TT_TU_MN009","691","201902052200","3.4","7","1"
"TT_TU_MN009","691","201902052300","3.3","7","1"
"TT_TU_MN009","691","201902060000","3.4","7","1"
"TT_TU_MN009","691","201902060100","3.3","7","1"
"TT_TU_MN009","691","201902060200","2.9","7","1"
"TT_TU_MN009","691","201902060300","2.3","7","1"
"TT_TU_MN009","691","201902060400","2.3","7","1"
"TT_TU_MN009","691","201902060500","2.6","7","1"
"TT_TU_MN009","691","201902060600","3","7","1"
"TT_TU_MN009","691","201902060700","3.2","7","1"
"TT_TU_MN009","691","201902060800","3.9","7","1"
"TT_TU_MN009","691","201902060900","4.4","7","1"
"TT_TU_MN009","691","201902061000","5.6","7","1"
"TT_TU_MN009","691","201902061100","6.2","7","1"
"TT_TU_MN009","691","201902061200","5.7","7","1"
"TT_TU_MN009","691","201902061300","5.6","7","1"
"TT_TU_MN009","691","201902061400","5.6","7","1"
"TT_TU_MN009","691","201902061500","5.3","7","1"
"TT_TU_MN009","691","201902061600","5.2","7","1"
"TT_TU_MN009","691","201902061700","5.1","7","1"
"TT_TU_MN009","691","201902061800","5.3","7","1"
"TT_TU_MN009","691","201902061900","5.3","7","1"
"TT_TU_MN009","691","201902062000","5.4","7","1"
"TT_TU_MN009","691","201902062100","5.6","7","1"
"TT_TU_MN009","691","201902062200","5.5","7","1"
"TT_TU_MN009","691","201902062300","5.4","7","1"
"TT_TU_MN009","691","201902070000","5.2","7","1"
"TT_TU_MN009","691","201902070100","5","7","1"
"TT_TU_MN009","691","201902070200","4.7","7","1"
"TT_TU_MN009","691","201902070300","4.5","7","1"
"TT_TU_MN009","691","201902070400","4.6","7","1"
"TT_TU_MN009","691","201902070500","5","7","1"
"TT_TU_MN009","691","201902070600","4.9","7","1"
"TT_TU_MN009","691","201902070700","4.6","7","1"
"TT_TU_MN009","691","201902070800","5.1","7","1"
"TT_TU_MN009","691","201902070900","6","7","1"
"TT_TU_MN009","691","201902071000","6.5","7","1"
"TT_TU_MN009","691","201902071100","7.7","7","1"
"TT_TU_MN009","691","201902071200","9.3","7","1"
"TT_TU_MN009","691","201902071300","9.2","7","1"
"TT_TU_MN009","691","201902071400","9.2","7","1"
"TT_TU_MN009","691","201902071500","9.1","7","1"
"TT_TU_MN009","691","201902071600","8.7","7","1"
"TT_TU_MN009","691","201902071700","8.2","7","1"
"TT_TU_MN009","691","201902071800","7.8","7","1"
"TT_TU_MN009","691","201902071900","8.3","7","1"
"TT_TU_MN009","691","201902072000","5.6","7","1"
"TT_TU_MN009","691","201902072100","5.5","7","1"
"TT_TU_MN009","691","201902072200","5.9","7","1"
"TT_TU_MN009","691","201902072300","5.9","7","1"
"TT_TU_MN009","691","201902080000","5.7","7","1"
"TT_TU_MN009","691","201902080100","5.8","7","1"
"TT_TU_MN009","691","201902080200","6.2","7","1"
"TT_TU_MN009","691","201902080300","6.4","7","1"
"TT_TU_MN009","691","201902080400","6.4","7","1"
"TT_TU_MN009","691","201902080500","6.3","7","1"
"TT_TU_MN009","691","201902080600","6.1","7","1"
"TT_TU_MN009","691","201902080700","6.4","7","1"
"TT_TU_MN009","691","201902080800","6","7","1"
"TT_TU_MN009","691","201902080900","6","7","1"
"TT_TU_MN009","691","201902081000","6.3","7","1"
"TT_TU_MN009","691","201902081100","6.9","7","1"
"TT_TU_MN009","691","201902081200","7.6","7","1"
"TT_TU_MN009","691","201902081300","8.6","7","1"
"TT_TU_MN009","691","201902081400","8.8","7","1"
"TT_TU_MN009","691","201902081500","8.6","7","1"
"TT_TU_MN009","691","201902081600","8.6","7","1"
"TT_TU_MN009","691","201902081700","8.8","7","1"
"TT_TU_MN009","691","201902081800","8.8","7","1"
"TT_TU_MN009","691","201902081900","8.8","7","1"
"TT_TU_MN009","691","201902082000","8.8","7","1"
"TT_TU_MN009","691","201902082100","8.7","7","1"
"TT_TU_MN009","691","201902082200","8.9","7","1"
"TT_TU_MN009","691","201902082300","9.1","7","1"
"TT_TU_MN009","691","201902090000","8.2","7","1"
"TT_TU_MN009","691","201902090100","7.7","7","1"
"TT_TU_MN009","691","201902090200","7.5","7","1"
"TT_TU_MN009","691","201902090300","7.6","7","1"
"TT_TU_MN009","691","201902090400","7.8","7","1"
"TT_TU_MN009","691","201902090500","7.9","7","1"
"TT_TU_MN009","691","201902090600","8","7","1"
"TT_TU_MN009","691","201902090700","7.5","7","1"
"TT_TU_MN009","691","201902090800","7.9","7","1"
"TT_TU_MN009","691","201902090900","8.4","7","1"
"TT_TU_MN009","691","201902091000","8.7","7","1"
"TT_TU_MN009","691","201902091100","9","7","1"
"TT_TU_MN009","691","201902091200","9","7","1"
"TT_TU_MN009","691","201902091300","10","7","1"
"TT_TU_MN009","691","201902091400","7.7","7","1"
"TT_TU_MN009","691","201902091500","8.6","7","1"
"TT_TU_MN009","691","201902091600","7.1","7","1"
"TT_TU_MN009","691","201902091700","7","7","1"
"TT_TU_MN009","691","201902091800","7.5","7","1"
"TT_TU_MN009","691","201902091900","8","7","1"
"TT_TU_MN009","691","201902092000","8.2","7","1"
"TT_TU_MN009","691","201902092100","7.7","7","1"
"TT_TU_MN009","691","201902092200","8.2","7","1"
"TT_TU_MN009","691","201902092300","7.3","7","1"
"TT_TU_MN009","691","201902100000","7.5","7","1"
"TT_TU_MN009","691","201902100100","7.7","7","1"
"TT_TU_MN009","691","201902100200","7.6","7","1"
"TT_TU_MN009","691","201902100300","5.6","7","1"
"TT_TU_MN009","691","201902100400","5.7","7","1"
"TT_TU_MN009","691","201902100500","7","7","1"
"TT_TU_MN009","691","201902100600","6.7","7","1"
"TT_TU_MN009","691","201902100700","6.1","7","1"
"TT_TU_MN009","691","201902100800","5.6","7","1"
"TT_TU_MN009","691","201902100900","5.7","7","1"
"TT_TU_MN009","691","201902101000","6","7","1"
"TT_TU_MN009","691","201902101100","7","7","1"
"TT_TU_MN009","691","201902101200","8","7","1"
"TT_TU_MN009","691","201902101300","9.1","7","1"
"TT_TU_MN009","691","201902101400","9.4","7","1"
"TT_TU_MN009","691","201902101500","9.5","7","1"
"TT_TU_MN009","691","201902101600","8","7","1"
"TT_TU_MN009","691","201902101700","6.6","7","1"
"TT_TU_MN009","691","201902101800","4.7","7","1"
"TT_TU_MN009","691","201902101900","3.1","7","1"
"TT_TU_MN009","691","201902102000","1.6","7","1"
"TT_TU_MN009","691","201902102100","2.4","7","1"
"TT_TU_MN009","691","201902102200","4.8","7","1"
"TT_TU_MN009","691","201902102300","5.2","7","1"
"TT_TU_MN009","691","201902110000","4.5","7","1"
"TT_TU_MN009","691","201902110100","4.6","7","1"
"TT_TU_MN009","691","201902110200","5.5","7","1"
"TT_TU_MN009","691","201902110300","5.3","7","1"
"TT_TU_MN009","691","201902110400","5.5","7","1"
"TT_TU_MN009","691","201902110500","5.5","7","1"
