"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"F_MN003","691","201902010000","3.8","10","4"
"F_MN003","691","201902010100","3.3","10","4"
"F_MN003","691","201902010200","3.7","10","4"
"F_MN003","691","201902010300","4.4","10","4"
"F_MN003","691","201902010400","4.2","10","4"
"F_MN003","691","201902010500","5","10","4"
"F_MN003","691","201902010600","5.1","10","4"
"F_MN003","691","201902010700","5.7","10","4"
"F_MN003","691","201902010800","4.7","10","4"
"F_MN003","691","201902010900","5.4","10","4"
"F_MN003","691","201902011000","4.5","10","4"
"F_MN003","691","201902011100","4.7","10","4"
"F_MN003","691","201902011200","5.3","10","4"
"F_MN003","691","201902011300","4.7","10","4"
"F_MN003","691","201902011400","4.4","10","4"
"F_MN003","691","201902011500","3.9","10","4"
"F_MN003","691","201902011600","3.9","10","4"
"F_MN003","691","201902011700","3","10","4"
"F_MN003","691","201902011800","3.3","10","4"
"F_MN003","691","201902011900","2.4","10","4"
"F_MN003","691","201902012000","2.2","10","4"
"F_MN003","691","201902012100","2.5","10","4"
"F_MN003","691","201902012200","2.6","10","4"
"F_MN003","691","201902012300","2.9","10","4"
