"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"F_MN003","691","201902010000","3.8","10","4"
"F_MN003","691","201902010100","3.3","10","4"
"F_MN003","691","201902010200","3.7","10","4"
"F_MN003","691","201902010300","4.4","10","4"
"F_MN003","691","201902010400","4.2","10","4"
"F_MN003","691","201902010500","5","10","4"
"F_MN003","691","201902010600","5.1","10","4"
"F_MN003","691","201902010700","5.7","10","4"
"F_MN003","691","201902010800","4.7","10","4"
"F_MN003","691","201902010900","5.4","10","4"
"F_MN003","691","201902011000","4.5","10","4"
"F_MN003","691","201902011100","4.7","10","4"
"F_MN003","691","201902011200","5.3","10","4"
"F_MN003","691","201902011300","4.7","10","4"
"F_MN003","691","201902011400","4.4","10","4"
"F_MN003","691","201902011500","3.9","10","4"
"F_MN003","691","201902011600","3.9","10","4"
"F_MN003","691","201902011700","3","10","4"
"F_MN003","691","201902011800","3.3","10","4"
"F_MN003","691","201902011900","2.4","10","4"
"F_MN003","691","201902012000","2.2","10","4"
"F_MN003","691","201902012100","2.5","10","4"
"F_MN003","691","201902012200","2.6","10","4"
"F_MN003","691","201902012300","2.9","10","4"
"F_MN003","691","201902020000","2.8","10","4"
"F_MN003","691","201902020100","2.8","10","4"
"F_MN003","691","201902020200","2.7","10","4"
"F_MN003","691","201902020300","3.4","10","4"
"F_MN003","691","201902020400","3","10","4"
"F_MN003","691","201902020500","3.2","10","4"
"F_MN003","691","201902020600","2.5","10","4"
"F_MN003","691","201902020700","2.4","10","4"
"F_MN003","691","201902020800","2.3","10","4"
"F_MN003","691","201902020900","3.2","10","4"
"F_MN003","691","201902021000","4.2","10","4"
"F_MN003","691","201902021100","2.8","10","4"
"F_MN003","691","201902021200","3.4","10","4"
"F_MN003","691","201902021300","3.8","10","4"
"F_MN003","691","201902021400","3","10","4"
"F_MN003","691","201902021500","3.2","10","4"
"F_MN003","691","201902021600","3","10","4"
"F_MN003","691","201902021700","3.3","10","4"
"F_MN003","691","201902021800","3.1","10","4"
"F_MN003","691","201902021900","2.7","10","4"
"F_MN003","691","201902022000","3.2","10","4"
"F_MN003","691","201902022100","4","10","4"
"F_MN003","691","201902022200","4","10","4"
"F_MN003","691","201902022300","2.4","10","4"
"F_MN003","691","201902030000","2.1","10","4"
"F_MN003","691","201902030100","2.4","10","4"
