"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"F_MN003","1078","201902010000","3.7","10","4"
"F_MN003","1078","201902010100","5.1","10","4"
"F_MN003","1078","201902010200","4.4","10","4"
"F_MN003","1078","201902010300","5.6","10","4"
"F_MN003","1078","201902010400","4.6","10","4"
"F_MN003","1078","201902010500","4.6","10","4"
"F_MN003","1078","201902010600","6.4","10","4"
"F_MN003","1078","201902010700","5.9","10","4"
"F_MN003","1078","201902010800","4.6","10","4"
"F_MN003","1078","201902010900","5","10","4"
"F_MN003","1078","201902011000","4.3","10","4"
"F_MN003","1078","201902011100","5","10","4"
"F_MN003","1078","201902011200","6","10","4"
"F_MN003","1078","201902011300","5.8","10","4"
"F_MN003","1078","201902011400","5.8","10","4"
"F_MN003","1078","201902011500","5.1","10","4"
"F_MN003","1078","201902011600","4.1","10","4"
"F_MN003","1078","201902011700","3","10","4"
"F_MN003","1078","201902011800","2.4","10","4"
"F_MN003","1078","201902011900","2.4","10","4"
"F_MN003","1078","201902012000","2.2","10","4"
"F_MN003","1078","201902012100","2.1","10","4"
"F_MN003","1078","201902012200","1.8","10","4"
"F_MN003","1078","201902012300","1","10","4"
"F_MN003","1078","201902020000","1","10","4"
"F_MN003","1078","201902020100","1.4","10","4"
"F_MN003","1078","201902020200","1.5","10","4"
"F_MN003","1078","201902020300","1.6","10","4"
"F_MN003","1078","201902020400","1","10","4"
"F_MN003","1078","201902020500","1.2","10","4"
"F_MN003","1078","201902020600","2.2","10","4"
"F_MN003","1078","201902020700","1.9","10","4"
"F_MN003","1078","201902020800","1.9","10","4"
"F_MN003","1078","201902020900","2.4","10","4"
"F_MN003","1078","201902021000","1.9","10","4"
"F_MN003","1078","201902021100","3.3","10","4"
"F_MN003","1078","201902021200","4.4","10","4"
"F_MN003","1078","201902021300","3.2","10","4"
"F_MN003","1078","201902021400","3.3","10","4"
"F_MN003","1078","201902021500","3.7","10","4"
"F_MN003","1078","201902021600","3.6","10","4"
"F_MN003","1078","201902021700","2.9","10","4"
"F_MN003","1078","201902021800","2.5","10","4"
"F_MN003","1078","201902021900","2.1","10","4"
"F_MN003","1078","201902022000","3","10","4"
"F_MN003","1078","201902022100","4.4","10","4"
